Date,Review,Reviewer,Ratings,Userprofilelocation,Userprofilelocation,Parkname,datasource
9/6/2020,"Kayaking out to this was totally worth it. I would go early so avoid crowds, because the Island is small. We got to the island around 10:30 am which was perfect. The snorkeling off the island was so much fun. I would bring some sort of water resistant shoes, because you do have to cross sharp coral to get into the water. You can do this trip I'm half a day easily.",Danielle F.,5 star rating,"Fort Lauderdale, FL",,Indian Key State Historic Site,yelp
9/6/2020,What a hidden gem! Came across this beautiful park with so much to offer and do on a drive today. It was hot out so we did not explore much but we will be back on our next trip to the area when the temperature is cooler.,Lillie A.,5 star rating,"Greenville, SC",,Washington Oaks Gardens State Park,yelp
9/7/2020,"The best beach, park in the keys and we have been to them all! So much to do from, camping to kayaking and snorkeling and more. Always clean and well kept. Great place to get food in their concession stand. Or bring food to BBQ. You can stay all day and do so many activities or just relax. Best snorkeling and always beautiful water on both beaches. Clean restrooms and facilities.",Kim G.,5 star rating,"Jupiter, FL",,Bahia Honda State Park,yelp
9/7/2020,"What a gem this park is. I stayed with a family few nights at the hotel on the property and it was such a relaxing experience. It was like going back to the 1950s. No cell phone service, very limited amenities, but great restaurant on the property. That was exactly what we needed, going back to the nature and nature didn't disappoint. The spring itself is beautiful. My kids enjoyed the jumping platform and the ride with the boat. So much history in this place. All the movies filmed there.. just fascinating.",Tanja N.,5 star rating,"Boca Raton, FL",,Edward Ball Wakulla Springs State Park,yelp
9/7/2020,Great park with lots to do. 8 bucks to get in. Trams back and forth to the beach but the walk isn't bad.   We did one day on the beach and one day kayaking. Beach was really nice with plenty of room. Rangers pretty much left you alone. Didn't see one all day. Kayaking was lots of fun. 2.5 out and another to get back. Plenty of  exercise to be had but know your limit as five miles is a long way!  It was a bit pricey at $70 for a tandem. Overall this is a great park with lots to see and do. Spend the morning kayaking then the afternoon on the beach.,Bill M.,4 star rating,"St Petersburg, FL",,Lovers Key State Park,yelp
9/7/2020,"Super nice camping sites ( I have a 30 v hook up) and love the walking paths. It's so hot now,is hard to be outside in FL summer, but I liked this place enough to return",Suzanne M.,4 star rating,"Fort Myers, FL",,Myakka River State Park,yelp
9/7/2020,"Beautiful park with very well kept ground. This is a second time in a month we attempted to enter, this time we arrived at 6.50am, and were 20th car in the wait line but we made it. What surprised us, lots of people are using park for bbq and celebrations, the spring itself and kayak/canoe rental wasn't busy at all. The staff was really friendly and easygoing. The river itself is gorgeous, the nature is unbelievable. We saw gars, bass, turtles, lots of birds..The River is great for snorkeling or just paddling, but keep in mind it is a river, so it is more difficult to snorkel up the stream specially with camera or if you are holding on your canoe.",Tanja N.,5 star rating,"Boca Raton, FL",,Rainbow Springs State Park,yelp
9/8/2020,"We drove to honeymoon island. Paid for our ferry ride. Waited about 10mins to get on ferry. The ferry is just a regular boat. You can bring a cooler. You can also bring chairs. If you do, be sure to tip the boat captain. When you get off the boat there is a small concession stand type restaurant. The beach is a 6-7 min walk from the boat and food area. We rented chairs and an umbrella for $30. The water was beautiful but too rough to swim this day. Not a crowded beach room to spread out.",Allison S.,5 star rating,"Saint Petersburg, FL",,Caladesi Island State Park,yelp
9/8/2020,"The park has 2 faces; an old fort, and a snorkelling beach.  Entry is only $7 for a car with 2 adults. Interesting Civil War era fort, with ties to the Spanish American War as well.  Huge mortars and cannons, as well as one of the largest Parrot Rifles (cannon with rifled barrel) that I've ever seen!  Great views of the ocean from 3 sides. The small snorkelling beach has showers (very low water pressure), inexpensive snorkelling equipment for rent, as well as rental umbrellas and restrooms.  Small rock islands provide snorkelling targets, with fish hiding among the rocks and coral.  The beach is rocky; bring beach shoes.  We enjoyed our visit!",Rick B.,4 star rating,"Rockwall, TX",,Fort Zachary Taylor State Park Beach,yelp
9/8/2020,"Ranger Brock took our entrance fee - $4, and it was well worth it! When we first entered we saw two deer. We did not drive the scenic road as it was open only to Rangers. Signs are everywhere, asking visitors to follow social distancing guidelines and to avoid crowds. We didn't see too many campers, and the sign at the entrance indicated that the campground was full, so they are limiting capacity. Today we drove to the parking area by the river. Longer trails start here. We only wanted a mile or less round trip trail, so we drove to the boat ramp, past the campsites. The River Trail starts here, .7 miles each way. We walked 1.2 miles round trip. We saw butterflies and bobwhites. We also visited the bathrooms, which have showers, too. Water fountains, a sink, bulletin board, and pet station are outside this comfort station. Both bathrooms are cleaned daily between 10:30-11:30. This is where we will return to camp for meteor showers! It has no lights, except at the bathrooms, and I think it is $18 a night. We are over 65, so I think we get it for 50% off. Today's hike was a good one, and we will definitely be back.",Courtenay O.,5 star rating,"Cinnamon Hills, Palm Harbor, FL",,Ochlockoknee River State Park,yelp
9/8/2020,"I grew with this place being a backdrop to my Coconut Grove hangouts. It was always there,  as I rode my bike past on the way to Dinner Key or when I would go to the Coconut Grove Playhouse, or Greenstreets, or Ranis. You know all these places remember? I felt it there as I would drive past this little swath of land known as The Barnacle for it's quirky looking home built by Munro back in the early days of this city.I finally walked in to this little bit of paradise and wonder why I never took the time to drop in before.It's a lovely walk to the sea side along a tree filled path dripping with Spanish moss and hiding the ubiquitous developments on either side that remind one that we are squeezing the life out of our magic city. But this little piece of paradise found still stands as one of a dozen or so homes that were first built in this area - pioneers and rugged fun people indeed.It's a best kept secret and hope it stays that way.It's a $2 entry with an honor system. Don't you Love that?",Daniella S.,5 star rating,"Miami, FL",,The Barnacle Historic State Park,yelp
9/8/2020,"Overall this was a great experience . We rented a kayak and paddle board. The beginning of the River was beautiful , we saw fish swimming and also a manatee. I got scared when I saw a small snake swimming toward my kayak, so just that people are aware anything can be swimming in the river. There was random trees with ropes to jump off of on the river , you can also pull over anywhere and swim .As we went down the river it got busier. This is why I took away a star. The workers did not tell us how crazy it got . We did go in Labor Day weekend , but we had no idea JETSKIS AND PONTOON BOATS were on this small river . It became chaotic with boats tailgating kayaks and paddle boards and the water got dirtier . Overall I didn't like the ending . It took about 3 hours to kayak until the end point . I just didn't like how it started to become not safe anymore towards the end. There were hundreds of people on the river . I probably wouldn't go again because of that. The beginning was amazing though .",Veronica K.,4 star rating,"Riverwoods, IL",,Weeki Wachee Springs,yelp
9/9/2020,"Beautiful views, soft white sand. Pretty good snorkeling especially for young children.  Light waves. Good parking areas",Lisa S.,5 star rating,"Houston, TX",,Bahia Honda State Park,yelp
9/11/2020,Beautiful park!  We did a little geocaching along Nature Trail and saw a snake that was identified as a Venomous Eastern Diamondback Rattlesnake (Crotalus adamanteus). Then saw a 2nd one on the side of the road.  And then a 3rd on the road!!!!,Kathy M.,5 star rating,"Charleston, SC",,Anastasia State Park,yelp
9/11/2020,"Had a lovely afternoon at Fort Pierce Inlet State Park with family from several different areas of Florida. The ranger at the gate was pleasant, efficient, and welcomed me to the park. The beach is a bit of a walk from the parking lot so if you have to carry a lot of beach gear with you, be prepared to hike a bit. The beach is clean and well maintained. We enjoyed watching the boats of all sizes going in and out of the inlet. Some of the facilities were closed because of covid so we didn't get to check out the playground or pavilions.Looking forward to returning.",Patrice R.,4 star rating,"Palm Springs, FL",,Fort Pierce Inlet State Park,yelp
9/13/2020,"We came here to get outside and see something new. I had read on the state park site that they have a canopy walk and I wanted to see it.We walked through the woods at the canopy walk area, and then across the walk that is high up in the trees. It is pretty cool. Afterward, we drove to the end where the boat tours and bike and kayak rentals are. We considered doing a boat tour, but because of social distancing, their capacity is extremely limited and we were not able to get on the boat. The next boat was leaving an hour and a half later and we didn't feel like waiting around that long. There are lots of places to picnic and several families were riding bikes through the park. There is also a campground and people were staying there. I would say this is a nice place to visit for a day, or if you are a camper, a weekend. Lots of shade, lots of nature!",Rebecca G.,4 star rating,"Palm Harbor, FL",,Myakka River State Park,yelp
9/14/2020,Absolutely love coming to this place. I go every time I'm in the Tampa area. I haven't found any springs with such beautiful kayaking in Florida. This time didn't disappoint. Service once we checked in was quick and felt safe as everyone was wearing masks. They made us throw out our energy bars and napkins but that's understandable to keep the place clean. We went on a Sunday morning and it was very busy with kayakers paddlers and boaters alone. Sometimes you spot manatees which is pretty cool. It took 2 hours to kayak about 6 miles The shuttle process was smooth and easy. Thanks to the guy that pulled us up at the end so we wouldn't have to step in the water coming out. Great customer service. Can't wait to head back. I highly recommend this experience. Try a week day for less traffic!,Shamara D.,5 star rating,"Hollywood, FL",,Weeki Wachee Springs,yelp
9/15/2020,"Caladesi Island is a beautiful hidden gem on the west coast of Florida. You can either paddle over to the island from the causeway area, or you can take the Ferry from Honeymoon Island State Park. This park is always selected as having one of the top beaches in the state - and it's well-deserved. Much like Clearwater (but without the crowds). It does cost a few bucks to get over here, but it's definitely worth it! Forget your snacks? No worries! They have a snack shack complete with gift shop and clean bathrooms. Don't forget to bring your sneakers and bug spray and go for a walk along the trails.",Brittany N.,5 star rating,"Winter Park, FL",,Caladesi Island State Park,yelp
9/16/2020,"Finally made my way to Key West after being born and raised in South Florida. (I know, sad right lol) Fort Zachary state park was nice and peaceful, but the beach had uncomfortably sharp shells and rocks near the shore so be sure to wear some sort of footwear near the shore. It's a great place to take family if you want to have a small bbq or just hang out with a group of friends.",Chris J.,3 star rating,"Boca Raton, FL",,Fort Zachary Taylor State Park Beach,yelp
9/17/2020,"I had never been here before and I absolutely loved it!! There was pretty much nobody there as we went on Tuesday - a day after Labor Day. The weather was perfect, the water was nice.Parking lot was pretty much empty. Large green space with bbq options. White sand beach. Don't litter and take your beach trash back to the bins in the park!!",Apple S.,5 star rating,"Denver, CO",,Bill Baggs Cape Florida State Park,yelp
9/17/2020,"The Fort is great! Highly recommended riding bikes in if you can. It's a beautiful ride, very shaded and safe!",Kristin K.,5 star rating,"Charlotte, NC",,Fort Clinch State Park,yelp
9/19/2020,Beautiful nature trails.  The blue hole is great for diving or just to swim around.  Summer crowds have left.  Much more relaxing and sparsely attended.  They have onsite tube and kayaking rentals. You can rent them cheaper outside park but not worth the hassle of getting them inside and returning them to outside vendors.  They have pick up and drop off Service from the south and north entrances.  Float down the current without the need to make it back to same spot.,Don D.,5 star rating,"Orlando, FL",,Ichetucknee Springs State Park,yelp
9/19/2020,"Beautiful and quiet place.  A lot of wildlife. Clean bathrooms. Very isolated, took almost an hour to get to town or gas station. Equestrian area had a lot of water in the road. Our site was very wet. Walking on parts was wet. Wear boots",Patty P.,4 star rating,"North Fort Myers, FL",,Kissimmee Prairie Preserve State Park,yelp
9/19/2020,"Beautiful and quiet place.  A lot of wildlife. Clean bathrooms. Very isolated, took almost an hour to get to town or gas station. Equestrian area had a lot of water in the road. Our site was very wet. Walking on parts was wet. Wear boots",Patty P.,4 star rating,"North Fort Myers, FL",,Kissimmee Prairie Preserve State Park,yelp
9/19/2020,"Great camping area for families.  There's fishing, swimming, bike and hiking trails. There is also a playground. My grandchildren and I always enjoy camping at Ochlockoknee River State Park.",Belinda M.,5 star rating,"Callaway, FL",,Ochlockoknee River State Park,yelp
9/19/2020,"I love it here. It is so buggy so bring bug spray! The little hiking trails are nice and clean. I love the sitting areas by the water. It looks like it would be a beautiful place to kayak or canoe. Lots of wildlife: bugs, snakes, huge centipedes, raccoons, alligators, squirrels.",Aleiss G.,5 star rating,"Trinity, FL",,Werner Boyce Salt Springs State Park,yelp
9/21/2020,So happy we were able to find a parking spot as parking spots are slim.Very clean pristine beach with plenty of shells and soft sand. There are bathrooms and  you can rent kayaks so this is very nice . You pay three dollars to park all day and its on the honor system.  Come visit but get here early for easy parking. Bring that sun screen you won't want to leave.,Lin H.,5 star rating,"Fort Lauderdale, FL",,Stump Pass Beach and Park,yelp
9/24/2020,"Due to Covid-19, a lot was closed down like the Jetty Pier and other public areas. The beach itself was pretty non-existent because the water was pretty high and the waves were rough, on the plus side there was little to no seaweed! If you want something hard to drink you can walk to their snack shake to get a beer and maybe catch sight of a Manatee, which we unfortunately did not see while there. My favorite part of this beach was that the picnic tables are right next to the beach and give a great view of ocean while you picnic. Parking is $6 for the whole day so that is pretty affordable compared to some of the public city lots. Is this the best beach in the Fort Lauderdale area? No, but it is something different if you are looking for a great place to watch boats come into port or are looking to mix up your beach going experiences.",Garrett Z.,3 star rating,"Lakeville, MN",,Von D. Mizell and Eula Johnson State Park,yelp
9/25/2020,"A national landmark just north of downtown St. Augustine, and site of the first settlement for free Africans in the United States - dating back to 1740!  Beautiful setting on the marsh with picnic area and a fascinating small museum.  Great for people of all ages.  $2 park fee.",Christina P.,5 star rating,"St. Augustine, FL",,Fort Mose Historic State Park,yelp
9/25/2020,"A national landmark just north of downtown St. Augustine, and site of the first settlement for free Africans in the United States - dating back to 1740!  Beautiful setting on the marsh with picnic area and a fascinating small museum.  Great for people of all ages.  $2 park fee.",Christina P.,5 star rating,"St. Augustine, FL",,Fort Mose Historic State Park,yelp
9/26/2020,"Beautiful beach without very many people to cramp your style with plenty of parking and clean bathroom facilities. We arrived at noon and stayed about 2 hours. This beach is conveniently located not too far from key west and offers a relaxing getaway for a relaxing, nice beach experience in September. Coming from california, you don't get to experience many places with super warm water that makes for easily getting into like it is here. Bring sunblock for sure, towel and an external speaker for music, the place is lax and enough space to get decent privacy without being too close to anyone like it is at any of the more crowded beaches in California. What a relaxing treat!",Linda V.,5 star rating,"Huntington Beach, CA",,Bahia Honda State Park,yelp
9/26/2020,Awesome beach and national park with boat landing. I keep going there every week and I still can not get enough of it.,Carmen C.,5 star rating,"Summerville, SC",,Delnor-Wiggins Pass State Park,yelp
9/26/2020,My family has been coming to this area for over 40 years.   We choose to stay in our RV at the park  and love it here.The campground has numerous sites that aren't on top of each other and very little artificial lighting(no street lights) to blind you if you're outside.Only downside is that you can hear vehicles on 30A but it's almost a half mile away.We love it here and will continue to return.,Jeff L.,5 star rating,"Woodstock, GA",,Grayton Beach State Park,yelp
9/28/2020,"This park offers a few hiking trails and a huge live oak as its main attraction~ the Fairchild Oak is massive and has one branch that broke off, but has branches that pop up from the ground, obviously part of the main tree. I am such a tree hugger~ so any stops for big, ole trees is ok with me. We did dip down one of the trails with a little boardwalk. There is plenty of water runoff and little streams. You can hear the water trickling downhill before you see it. There is a pavilion with picnic tables and plenty of room to picnic.",Crystal O.,4 star rating,"Jacksonville, FL",,Bulow Creek State Park,yelp
9/28/2020,"I am an avid State Park fan here in Fl, so it's no surprise that this is a 5 star review! Once inside the park, there is a view of the intercoastal waterway, where the breeze was glorious. I did bug spray up as soon as I exited the car- which I highly recommend if the bloodsuckers like you. There is a screened in pavilion you can normally rent for events- closed right now due to Covid. There is a little dock a family was fishing from and a small watercraft launch, I can only imagine kayaking from here would be beautiful. Plenty of trails including a 7 miler to the next state park. We hiked back to the site of slave cabins- all that was left was the stone base of what was a hearth and fireplace. This site is a previous plantation. My heart aches when I see that they had slaves to run their sugar mill and also grew and processed indigo- which was highly poisonous to those working directly with extracting the dye from the plant. A death sentence for those assigned that job. I know this from a previous tour at another plantation. I am happy that that part of our history is in the past and I hope we continue to learn from those times and never repeat the mistakes of the past. The ruins are further down the road, the hiking trail back was closed (probably due to high water levels). This area was swarming with mosquitos- I reapplied bug spray for good measure- just dip me in deet. This however was my favorite part~ my inner-artist took hold and I ran rampart taking pictures. We were lucky that we toured the ruins by ourselves. No one else was out there while we explored. I easily spent 45 minutes just snapping pictures. Probably more than you would need. The average person would probably only spend 15-20 minutes walking around and reading the information boards. There is a building off to the side that has tools and things recovered from the area. I love that you can walk through the ruins on a sidewalk that is chained off from you entering into any of the structures- preserving what remains, but allowing you a special glimpse from ""inside"" the ruins. I recently visited another park that had the large ruins completely closed off- only external views. So this was a treat.You could spend as little as 45 minutes going through this park or spend the day hiking and picnicking. Go visit and enjoy the history and views.",Crystal O.,5 star rating,"Jacksonville, FL",,Bulow Plantation Ruins Historic State Park,yelp
9/28/2020,"This is a small gem of a state park on Florida's Emerald Coast.  There is a coastal dune lake for kayaking and paddle boarding as well as a few nature trails.  The park's history is well curated, with placards and preserved historic buildings from its days as a recreational site for Alabama textile workers.  This is also a great park for both bird and butterfly watching.  Not crowded at all and everyone there was practicing good social distancing.",Tracie P.,4 star rating,"Nashville, TN",,Camp Helen State Park,yelp
9/29/2020,"This is a nice, small state park in the 30-A area.  There is a historic postbellum home on the site (the Wesley house) with beautiful oaks on the front lawn.  You can walk down the lawn to the ferry landing, which was featured in the film The Truman Show.  The park has a nice diversity of trees and flora.  There is also a short, easy nature trail.  Very beautiful and a nice way to spend a couple of hours.  The home is currently closed for indoor tours due to covid-19.",Tracie P.,4 star rating,"Nashville, TN",,Eden Gardens State Park,yelp
9/29/2020,"Such a fun park to go to. You park at one side and then take a free ferry over to the other side where the park is. It has great picnic areas, fishing spots, and walking trails. Great place to take your kids and teens for a family outing.",Tina S.,5 star rating,"Williamsburg, VA",,Hontoon Island State Park,yelp
9/29/2020,"Awesome time, great staff, the kayaking was peaceful and relaxing. We got lucky and saw up close 6 manatee and a baby, the baby came up to kayak and was playful, such a great experience!",Pam C.,5 star rating,"The Villages, FL",,Weeki Wachee Springs,yelp
10/1/2020,"WOW! Boneyard Beach is so cool! My son & future DIL have been here several times, and I'd seen so many photos of theirs that hubs & I wanted to experience it for ourselves. During our last visit with them in late August 2020, on a busy Saturday afternoon, the small parking area was so full that driving through was almost impossible. We ended up parking along the main road and walking back to Black Rock Trail, then walking another 10 minutes or so to get to the beach. But the effort was completely worthwhile! The huge pieces of driftwood and fallen uprooted trees are stunning, and the beach is incredibly pristine. Our visit was during a very low tide, and we were able to safely wade in the water. My son mentioned that on their prior visits, during higher tides, driftwood hidden below the waterline was a serious hazard. For this reason, going in the water is usually not a good idea, so this was the first time they had felt comfortable walking knee-deep into the surf. The sand here was incredibly soft, both on the beach and in the water, which made barefoot walking quite comfortable. The large exposed rock shelf further up the beach was a little rough on the feet, but definitely too interesting & unusual to skip. It's an equally fascinating area of natural geographic artistry. My son also mentioned that parking had not been as challenging on their prior visits, the first of which had been pre-pandemic. That's said, we did not feel like the beach was crowded at all. Despite the many cars, the beach area is so vast that small groups could easily avoid each other, especially since this isn't your typical sunbathing/relaxing beach and most people are on the move to enjoy this unique stretch of Florida. [#30 in 2020... self-motivating; I've been slacking in these pandemic times]",Lori B.,5 star rating,"Tampa Bay, FL",,Big Talbot Island State Park,yelp
10/1/2020,"Grayton Beach State Park is a nice beach spot along the 30-A coastline.  The park includes a large stretch of beach, a coastal dune lake, a nature trail, and a hiking/biking trail.  The beach access is via a narrow, long boardwalk -- during covid-19, you may want to wear a mask for this portion of the park since there is no way to maintain social distancing if you do encounter someone.  The coastal dune lake is beautiful -- kayaks are available for rental.  The best time to kayak is in the morning, as wind and waves tend to pick up in the afternoon.  The park has a shed and a couple of picnic tables along the lakefront.  The nature trail is a 1 mile easy walk through forest and sand dunes.  This is another one of Florida's great state parks to visit during your Gulf vacation.",Tracie P.,4 star rating,"Nashville, TN",,Grayton Beach State Park,yelp
10/2/2020,"Deer Lake State Park is one of several state parks along state road 30-A.  The park has a long boardwalk to a nice stretch of beach that is relatively secluded.  The area provides a nice alternative to more crowded areas in PCB and Destin.  This also appears to be a great spot for fishing -- while here, I saw several people catching fish next the shoreline.  If you're in the area, block out a couple of hours to spend here.  It's a very relaxing spot along Florida's Gulf Coast!",Tracie P.,4 star rating,"Nashville, TN",,Deer Lake State Park,yelp
10/4/2020,"I absolutely love coming to the beach at this park. This is definitely one of those Miami spots you have to visit while you're in Town if you're not from around here and it's more than worth the $8 entrance fee.Miami Natives lovingly call this place ""el farito"" for the beautiful lighthouse at the end of the island. But that's not all you'll see when you visit; there's so much wildlife roaming around, you shouldn't freak out if you see a raccoon or iguana or even a huge school of fish swim by if you're in the water. For $25 you can rent two beach chairs and an umbrella and have the best beach day ever like I did in the photos attached. During the summer, the waters are mostly crystal clear and the riptide isn't too bad. Sharks have been spotted here before but I think South Beach gets much more shark action lol There are two restaurants in Bill Baggs. My favorite one is the one at the end nearest the lighthouse. They have tons of food and it's really fresh and delicious. The park has really clean bathrooms and trash bins everywhere for collecting garbage, which is really convenient because everyone has things they wanna get rid of before leaving their beach day and heading back to the car. Fresh water showers are also available. All CDC guidelines for COVID-19 and social distancing are in place with signage and park service aides riding around/keeping an eye out. Excellent park to visit during the week if you have a day off because it's really quite empty. Perfect spot most deserving of the full 5-star rating.",Jazmin G.,5 star rating,"Miami, FL",,Bill Baggs Cape Florida State Park,yelp
10/5/2020,"Such a beautiful park with so much open space to take photos, camp, bike, etc! The guard at the gate was super sweet too & they do accept card! I always love coming here for shoots because of the beautiful space and it almost feels like you're not in florida! picture by @beronamphoto",Belkis B.,5 star rating,"Union Park, FL",,Lake Louisa State Park,yelp
10/5/2020,Nice walk for a hot summer day in Miami. Lots of squirrels and birds. They didn't have any entertainment this weekend because of covid but we saw some people having a photo shoot so that was fun!,Joslyn M.,5 star rating,"Coconut Grove, Miami, FL",,The Barnacle Historic State Park,yelp
10/6/2020,Came for the kayaking and tried tubing for the first time.  Loved it.  Everyone was  friendly and I will come back again.,Leona M.,5 star rating,"Fort Lauderdale, FL",,Blue Spring State Park,yelp
10/6/2020,"Beautiful and clean beach with facilities! Currently allowing 50% capacity, but still seemed crowded but not overly so. Parking is convenient and the $6 is worth the day of hassle free beach area. Lots of restaurants and shops nearby if you should need anything.",Alyson A.,5 star rating,"Madison, AL",,Henderson Beach State Park,yelp
10/7/2020,"Entrance fee: 6$Clean, not crowded and very relaxing. Some areas is closedThere are areas also for grillingGood to watch the sunset",Ryan Q.,5 star rating,"Nashville, TN",,Henderson Beach State Park,yelp
10/11/2020,"Had a wonderful 4 day stay on sight 25.The water side view of the channel was spectacular. Awesome sunsets! FYI, a reminder to make sure to spray on lots of Skin so soft before dusk!! Or you'll be dinner for the local bugs.",Charles I.,5 star rating,"Oviedo, FL",,Bahia Honda State Park,yelp
10/11/2020,"My fiance's daughter really loves manatees. Blue Spring State Park is renowned for its position as a manatee refuge; therefore, while up in Orlando for the Gaylord Ice exhibit during the in-season, we first made a trek to the park to see them. Located in Orange Park, Blue Spring is a little out of the way if you're visiting the Orlando/Kissimmee area, but it's great if you really love manatees and want a quiet retreat from all things Universal and Disney. After making our way to the park entrance after an hour-plus drive, we made our way through the winding road to the main parking area where we would have easy access to view the manatees from one of the dock viewing areas. I was amazed by the number of manatees I saw as we made our way to each of the docking areas. They really have a large number of manatees in the park. We didn't see as many as 200, but we did see quite a few. The park itself is quite beautiful as you walk along the wooden-boarded trail to view not only the manatees but the wildlife and forestry.",Jeff N.,4 star rating,"West Palm Beach, FL",,Blue Spring State Park,yelp
10/11/2020,"One of the state parks in the area that I wanted to visit.  It had it all!  Trails, history, a spring run, and the Suwannee River!  I really enjoyed it.  I walked to all the historic areas, the graveyard, Civil War embankment, and saw the leftover machinery from the sawmill.  There was a spring run running through the park that was very refreshing.  I went on Labor Day weekend so the only downside was there were a lot of boaters along the bank of the Suwannee blasting music, not ideal for enjoying nature.  I stopped in the ranger station to ask a few questions, the rangers were very friendly and professional.  I would like to return on a weekend that is not as busy.  Definitely recommend hiking there.",Ryan W.,5 star rating,"Green Cove Springs, FL",,Suwannee River State Park,yelp
10/12/2020,$6 to get in and you can rent tubes for $10/hr or just swim. We even saw a manatee! This park also has a cave that experienced divers can explore. We went on a Monday before noon and it wasn't bad at all.,Megan K.,5 star rating,"FL, FL",,Blue Spring State Park,yelp
10/13/2020,Really beautiful but the pet rules are confusing. Their sign said they allow pets in certain areas just not the beach. As soon as you start walk to the path (the only path there is) a sign says no dogs.  So basically we can take our dog but we can't take our dog? This was a waste of time and money since I could only snap a photo and leave because we had our dog.,Kate Alex G.,3 star rating,"Louisville, KY",,Deer Lake State Park,yelp
10/13/2020,It's really sad that you have to have a permit to have your dog on the beach and a permit is only allowed to residents and property owners.  This eliminates all vacationers with their dogs. Can't they designate a time for all pet owners or a specific area or at least allow visitors a chance to purchase a permit. Will not be coming back.,Kate Alex G.,1 star rating,"Louisville, KY",,Grayton Beach State Park,yelp
10/14/2020,"What a cool beach!! Got here at 9am and found our sandy shore area as tide was rolling out. $9 entry for 2, bring exact changeGift shop is nice, has rental chairs for $8, rental snorkel gear for $9 - you keep the snorkel, and small sun umbrellas for $6  and a cafe for food, decent prices. Fun fun spot for the family beach thing. Beach area to the right, south, has better sand, beach and fewer rocks.",J K.,5 star rating,"The Colony, TX",,Bahia Honda State Park,yelp
10/14/2020,"Extremely disappointed. DO NOT WASTE YOUR TIME COMING HERE. On the website they state the park is dog friendly and there are no regulations against dogs allowed to float down the spring but that's a lie. Why post multiple things on your website saying ""bring Fido"" when your pet can't do anything but sit at the campsite the entire trip. If you are planning on bringing your dog just expect to sit at your muggy campsite the entire trip because there is nothing to do. The website needs to be updated.",Em T.,1 star rating,"Northwest, Jacksonville, FL",,Blue Spring State Park,yelp
10/14/2020,"I am so extremely disappointed with The evolution of this company. In 2016 I loved visiting the river. While the kayak rentals did get more and more expensive it was still fun. Now they have cut your time back to two hours on the river otherwise you get charged a $50 fee. That is just insanely ridiculous to me. People like to stop and have lunch and swim. Many people are traveling over an hour away to rent the kayaks and go down the river the last thing I want is to be told that I have to do it in two hours. We made a reservation and they messed it up and gave our kayaks to someone else. They took absolutely no blame for it, no apologies and we had to squeeze into  a canoe with our friends.",Sam H.,1 star rating,"Tampa, FL",,Weeki Wachee Springs,yelp
10/15/2020,"This review is for motorhome camping.  The day use area of the park is nice as is the boat ramp area, no complaints there. Employees were courteous. Be warned- the spaces are very narrow. They really need to widen the spaces by removing a few shrubs at most sites.  It was clostrophobic to go in and out of our rig as the door opened into the bushes and we could not extend our awning. I looked and this was the case at most of the sites.  While long enough, they are far too narrow.  So much so that the fire ring and table are at the back of most sites..",Cynthia M.,3 star rating,"Merritt Island, FL",,Koreshan State Park,yelp
10/15/2020,"Gatekeeper wears mask and latex gloves ,cant give you back the change she owes you but can donate it,oh yeah you can use a credit card.WTF.!!!! Also not all of the park was open!",Greg H.,1 star rating,"Port Charlotte, FL",,Myakka River State Park,yelp
10/15/2020,"We are spending a few days at the beach and decided to check out this park. As stated, each car is $5. The historical area is very nice. Lots of trees, water, flowers, fountains, etc. We walked one of the nature trails. It was an easy walk on a very wide path. I'd suggest going here early in the day. It started to get pretty hot by 11 AM. I don't understand why the gift shop and visitors center aren't reopened yet. Didn't the governor open everything in the state? I was disappointed to not be able to go inside any of the buildings. It was a week day and there weren't many people. The paths were large enough to maintain a good social distance.",Caroline M.,5 star rating,"Davenport, FL",,Washington Oaks Gardens State Park,yelp
10/16/2020,"Great state park with lots of beach options, a boat launch, a restaurant, some shore dive spots on a man made reef, and hidden kayak/paddle boarding, and some biking trails. You can also to grilling on the charcoal grills, lounging in the shady coverings near the water, spend time on the beach, or chill at whiskey creek. Check out my full review of Whiskey Creek to read all about that, which is the main attraction of this park. They also have a boat launch which lets you get access to the whiskey creek spot or the inter-coastal. From there you could get into the ocean, or cruise down up or down. You can even go by the cruise ships, which is always fun. As far as the diving goes, there is a man-made reef called the ""jax"" right off of parking spot 1. look up the map to see exactly where it is, but you go straight out and you will end up on it. This is a great spot for a few different coral sightings, some fish, turtles, and maybe even something more exciting. I haven't used the biking trails, but I see lots of people riding around on them. You do have to pay to get in, but it is worth it if you were going to pay an hourly rate at Hollywood Beach, or even pump the meter at Dania.",Jason K.,5 star rating,"Pembroke Pines, FL",,Von D. Mizell and Eula Johnson State Park,yelp
10/17/2020,A beautiful quiet natural location to get away and not be far away at all. Our campsite is shady and quite spacious. We are looking forward to our next visit.,John A.,5 star rating,"Bradenton, FL",,Lake Manatee State Park,yelp
10/18/2020,What a great park that's way off the beaten path.First small dog park that is spacious and a great work out for my small pup.There water hoses at the entrance for both the small & large dog parks.  There is a larger all dogs park which has agility courses and also seems to be where all the large dogs congregate.It works the park for smaller dogs is large has several trees and a fire hydrant to keep smaller pups entertained.Great park and can't wait to take Fudge back,Maria S.,5 star rating,"Nashville, TN",,Anclote Gulf Park,yelp
