Date,Review,Reviewer,Ratings,Locationusergeo,Statename,Country,parkname
10/2/2019,This park is beautiful. The parking area is close to the beach. The picnic area was clean and maintained. There were picnic pavilions so we didnt have to swear it out while eating. The beach was area wad not crowded. $5 per car of 6 people is a cheap Saturday of fun in the sun. ,MSK1979,5.0 of 5 bubbles,Jacksonville,Florida,United States,Little Talbot Island State Parktripadvisorreviews
7/28/2019,If you don't like crowded beaches and loves to find different shells and sand dollars then you will love this beach. ,Jean E,5.0 of 5 bubbles,Jacksonville,Florida,United States,Little Talbot Island State Parktripadvisorreviews
6/12/2019,"I was really surprised to find such a gem in here. Absolutely gorgeous beach, not crowded with tourist, so much to offer...",klokan0426,5.0 of 5 bubbles,St. Augustine,Florida,United States,Little Talbot Island State Parktripadvisorreviews
5/17/2019,"Not only is this a wonderful beach to walk on, but a nice wooded area for about a third of the hike... The beach is full of old trees (driftwood?) that appears to be like a deserted island somewhere in Time... it wasn’t crowded the day we were there, and I want to go again... I grew up in Jacksonville, and sad to say it took me over 50 years to finally get here. It’s a very peaceful and beautiful beach, hopefully it will always remain this way...",Momsaidtravel,5.0 of 5 bubbles,Jacksonville,Florida,United States,Little Talbot Island State Parktripadvisorreviews
2/17/2020,We hiked and walked the beach. The rangers were most helpful and Informative. We saw an Osprey up close.  NExt time we want to bring bikes back. ,Scabshouse,5.0 of 5 bubbles,Milledgeville,Georgia,United States,Little Talbot Island State Parktripadvisorreviews
7/29/2019,Our family is comprised of many walking and birding enthusiasts and Little Talbot is an absolute favorite.  We are regularly enchanted with a variety of migratory birds.  Typically come for a 3-4 hour walk.,DL on a River,5.0 of 5 bubbles,St. Marys,Georgia,United States,Little Talbot Island State Parktripadvisorreviews
3/19/2019,We had a great day on a absolutely beautiful day recently. You'll get your walking in but its well worth it.,srlawren11,5.0 of 5 bubbles,Peachtree City,Georgia,United States,Little Talbot Island State Parktripadvisorreviews
11/9/2019,Went to the beach late afternoon on a Sunday and there were 5 other people that we could see.  It had been storming the day beige up until mid-morning the day we went so the surf was still aggressive.  Nice to be able to walk the beach without very many people there.  Sand was very clean.,chrish77,5.0 of 5 bubbles,Elkhart,Indiana,United States,Little Talbot Island State Parktripadvisorreviews
2/15/2020,"According to the website there is beach access and miles of bike trails. So we were surprised when we got here that the ranger station, beach and the miles of bike trails are across the highway from the campground! This is A1A, the busy main thoroughfare through the barrier islands to Fernandina Beach. There is a nice boat dock on the tidal creek that borders the campground for kayaking or fishing, otherwise you have to leave the campground to do anything including purchasing ice and firewood at the ranger station because the campground hosts don’t sell it. I biked across the highway one time but I would not recommend it especially with children as traffic is constantly speeding by. It’s a nice wooded campground with mostly private sites and clean restrooms. Just be aware that there is not much to do there.",Judy B,3.0 of 5 bubbles,Belfast,Maine,United States,Little Talbot Island State Parktripadvisorreviews
4/7/2019,Dogs not allowed on the beach.There is plenty of parking and noticed a few campers there also. Quite a long path walk to the beach if you are brings chairs and such for the day.,Linda D,3.0 of 5 bubbles,Portland,Maine,United States,Little Talbot Island State Parktripadvisorreviews
3/2/2020,"We used the paved bike path through the park to get from Amelia Island to Mayport.  It is a nice paved path, not busy, gets you off the highway, and connects you to the bridge.  We didn’t have time to explore the actual park on this  trip but hope to next time.",jane572018,4.0 of 5 bubbles,Gwinn,Michigan,United States,Little Talbot Island State Parktripadvisorreviews
1/29/2020,"We stopped at Little Talbot Island State Park before checking into our hotel.  The island was basically deserted so we were wary.  It is so beautiful!  Lots of shells, driftwood, birds, etc.. Definitely worth a few hours to walk to shore and take in the beauty of the area.",Stacy C,5.0 of 5 bubbles,Dayton,Ohio,United States,Little Talbot Island State Parktripadvisorreviews
12/9/2019,We camped here in mid November. We chose campsite 39. It had a beautiful view of the marsh and was very spacious. Just a short drive across A1A was a beautiful beach. Very secluded and with only a few other people on it. The rangers were great hosts and helpful. We can’t wait for a return trip.,Robin B,5.0 of 5 bubbles,Daufuskie Island,South Carolina,United States,Little Talbot Island State Parktripadvisorreviews
11/24/2019,"Our site was very big, However, most of the other sites were small so check the park map. We had great views looking out over the marsh and watching the sunset. The campground was very quiet and well-maintained. We really liked campsites 38, 39, and 40. We would recommend reservations. The Rangers were very welcoming and knowledgeable about the parks. Bring your bikes or you can rent them if you’d like to go on a nice long ride down the beach or over the beautiful boardwalks. The ocean requires one to drive across a busy street away from the campground but the beach is beautiful and secluded. Bathrooms were clean. We went on the nature walk which is located near the ranger station. It was an easy 4 mile walk. Great stroll  through the North Florida forest ending with the last mile walk down the beach. Don’t go at high tide because there may not be any beach. We found the dunes to be uncharacteristic of a flat Florida as they really rose toward the heavens. You will need to get a gate code to enter the campgrounds. Be sure to plan accordingly if you’re having a late arrival.",Bink,5.0 of 5 bubbles,Bluffton,South Carolina,United States,Little Talbot Island State Parktripadvisorreviews
7/26/2019,"A group of 4 of us (all women) stopped here on our way to Amelia Beach from St. Augustine and it was so beautiful.  There's a long boardwalk that takes you out to the beach.  We walked the beach looking for shark teeth and we ended up seeing a couple of dolphins swimming and jumping out in the ocean.  It was just a really nice area with decent bathroom/changing facilities as well.  It does cost $5 to get into the park, but it was worth it.  And we only stayed for about an hour.",Jennifer M,5.0 of 5 bubbles,Fort Atkinson,Wisconsin,United States,Little Talbot Island State Parktripadvisorreviews
2/9/2020,"Most visitors come here for the beach. Miles of beach in both directions. Mid week few people are here, and on the weekends crowds have use of large parking areas. There is also a trail to enjoy tropical forests and dunes plus a histroy exhibit concerning segregation at the beaches. ",aDCtraveler,4.0 of 5 bubbles,Virginia,Virginia,United States,Little Talbot Island State Parktripadvisorreviews
9/22/2019,Great combination of wooded land and beach for excellent walking experience. Nature and park at its best. We loved our afternoon time there.,Jorge,5.0 of 5 bubbles,Bogot�,Bogot�,Colombia,Little Talbot Island State Parktripadvisorreviews
5/11/2019,This is a beautiful natural beach. Lots of shells if you like collecting. There is a bathroom with changing rooms and an outdoor shower area at parking lot #1. It’s a bit of a walk down a long boardwalk to the beach but it was worth it. We would definitely go back if we visit the area again.,Diana S,4.0 of 5 bubbles,Michigan,Michigan,United States,Little Talbot Island State Parktripadvisorreviews
1/29/2020,"We were able to ride our bikes to the Park from our accommodations.  Some of the Park is still in obvious lasting effect from hurricane 2017- especially- no camping facilities.  We had the chance to use our inflatable SUP's and kayak.  The water was beautiful- we felt like it was like snorkeling from above.  We saw nurse sharks, stingrays, conch, and other fish.  The rest room facilities were just find and they have recycling there.  Would love to go back sometime.",Sharon58Waikiki,5.0 of 5 bubbles,Waikiki,Western Australia,Australia,Long Key State Parktripadvisorreviews
3/31/2020,"We stopped here for a rest whilst travelling from Key Largo to Key West, lovely scenery and we found a nicely shaded picnic table to have our lunch.  Walked along the Broadwalk to the area where they have the recently discovered railroad exhit.  Plenty of places to put your hammock and just relax.  There is still a lot of work going on in the park due to storm damage.",Veronica G,5.0 of 5 bubbles,Burgess Hill,England,United Kingdom,Long Key State Parktripadvisorreviews
12/12/2019,"Long Key State Park is a low-key park situated along the Great Florida Birding Trail.  We ducked into the park on our drive up Route 1 from Big Pine Key to Miami.  Hurricane Irma destroyed much of the mangrove forest, but nature is remarkably resilient, and baby mangroves are sprouting from below the ghostly white dead ones that remain.  Sitting at a picnic table right at the water, we saw a little blue heron and an ahinga bird.  We were able to wade knee-deep 50 yards out from the shore.  The park has screened-in picnic cabins and wooden stands to hang hammocks.",Boromir1234,4.0 of 5 bubbles,San Francisco,California,United States,Long Key State Parktripadvisorreviews
7/22/2019,"My partner spent childhood summers in this State Park, which is why we stopped (his grandparents use to be the campground hosts). Some things have changed a bit since he was a kid, others felt exactly the same (in a good way). The campground layouts have changed and there are some neat educational plaques that weren't up when he was younger. We had a great time walking one of the trails in the area and watching the crabs scuttle around. It was definitely warm, I'd highly recommend sunscreen if you're planning to stay out for any length of time. We'll definitely stop back on our next drive through.",CopperLeah,5.0 of 5 bubbles,Loveland,Colorado,United States,Long Key State Parktripadvisorreviews
11/6/2020,"Long Key has a board walk, facilities, trails that are partially under water from all the rain. It's a very good beach, tan sand, lots of flora and fona, lots of birds, some wildlife.",387indy,4.0 of 5 bubbles,Coral Springs,Florida,United States,Long Key State Parktripadvisorreviews
10/26/2020,We enjoyed this park and the hiking. We had to walk through water a bit. The park is very scenic. We also enjoyed Curry Hamock State Park.,DiverM,4.0 of 5 bubbles,Jupiter,Florida,United States,Long Key State Parktripadvisorreviews
8/10/2020,There was a nice boardwalk out to the mangrove beach where there is tent camping available along with a few screened in enclosures you can camp in. Walking trail was along the water then also through the mangroves. You go in and out of the trees and there were lots of butterflies and birds to see while we there. Also a group of small crabs busy on the trail. Take bug spray and water. Trail is well marked. Clean bathrooms and plenty of parking.,sskroll,4.0 of 5 bubbles,Orlando,Florida,United States,Long Key State Parktripadvisorreviews
7/3/2020,"Went there to hike the trail which I did it, was very pretty, great photo opportunities. There is a board walk and showers to rinse your feet off, in my case I wore my bathing suit and a cover up so I used the shower to cool off then went for my hike on the trail. After that drove over to the beach, which was disappointing not much beach and the seaweed had washed in. Was there about an hour then headed out.",Forthesun,4.0 of 5 bubbles,Tampa,Florida,United States,Long Key State Parktripadvisorreviews
5/7/2019,"One of the many places severely damaged by Hurricane Irma in September 2017, Long Key State Park is in the process of recovery and much of it is still under reconstruction. As with many of the mangroves in the Middle and Lower Keys, they were stripped bare and are mostly dead, thanks to the general area being Ground Zero for Irma's landing. But the park needs your help, needs the visitors, and it's still worth it, if only to visit a small spot discovered in the aftermath of Irma: a stretch of long-buried railroad from Flagler's days, with a few remnants of other rail-related treasures found. It's an exciting find, an exciting discovery of a link to the Keys past! The staff, the rangers, at the park are so welcoming, so friendly, and really are to be commended. We're Key West locals and will be going back as soon as we can, even if to just have a picnic there at that lovely waterside area!",KWjohn69,5.0 of 5 bubbles,Key West,Florida,United States,Long Key State Parktripadvisorreviews
8/1/2020,My wife and two teens took a bike ride from nearby Lime Tree resort for a nature hike.  Recommend going early or late when it's a little cooler since there absolutely no shade.  Didn't have enough time to check out the beach area but will next time. Park ranger friendly and boardwalk new since hurricane in 2017. ,Savannahmoose,4.0 of 5 bubbles,Savannah,Georgia,United States,Long Key State Parktripadvisorreviews
10/4/2019,"Nice to visit and hike, but super hot in August. The mangroves were of interest as was the piece of Flagler's Railway.",harmsenom,4.0 of 5 bubbles,New Orleans,Louisiana,United States,Long Key State Parktripadvisorreviews
7/9/2019,"If you need to kill some time like we did, it's a good place to stop for a couple of short hikes and an overlook.  we also had a picnic.  there are lots of tiny crabs everywhere so that's fun to see.  it looks like it might even be nicer one day when they finish the rebuilding from hurricane irma.",Jenn K,4.0 of 5 bubbles,Silver Spring,Maryland,United States,Long Key State Parktripadvisorreviews
6/14/2019,Stopped in here on A Thursday in June.  A nice hike and a view of the water was appreciated.  Not a swimming park but more of a nature park.,Mark B,4.0 of 5 bubbles,Warren,Michigan,United States,Long Key State Parktripadvisorreviews
12/27/2020,"We visited in December which we learned is a choppy time of year to be in the water.  We tried kayaking in the little mangrove lake.  It was interesting, the upside-down jellyfish and mangroves were unique. If it's too choppy on the open water to kyak, give this spot a try.",v'burgresident,4.0 of 5 bubbles,Vicksburg,Mississippi,United States,Long Key State Parktripadvisorreviews
2/6/2020,"It has a nice walking trail, though it is like any other mangrove beach walking trail. If you’ve never walked in a mangrove-covered beach, then go. If you have, maybe skip this one. We didn’t see any interesting wildlife. ",Kate P,3.0 of 5 bubbles,Hillsborough,North Carolina,United States,Long Key State Parktripadvisorreviews
2/10/2020,"We left Key West in the morning and headed through the keys, with Key Largo our eventual destination. We made several stops along the way.  Long Key State Park was one of them.  The walk starts with a boardwalk section through mangroves destroyed by the hurricane and eventually makes its way to the water.This was a nice stop along the way.  We spent a little under an hour walking and taking pictures.  It is not a ""must see,"" but it was definitely worth the $6.00 for our vehicle of two people and the exercise we got.  There are clean rest rooms, and there is a covered pavilion for a picnic.",GreenUnicorn,4.0 of 5 bubbles,New Jersey,New Jersey,United States,Long Key State Parktripadvisorreviews
11/26/2019,"Even though this State Park, which was saved from development many decades ago and set apart as a park, lies along prime swimming territory along southwest Florida's Gulf Coast, we chose to complete two hikes, and that's in the dead of summer. Go figure... The two hikes, the Eagle Trail and the Black Island Trail aren't extremely spectacular. They have an artificial feel to them and that's because the paths primarily lead along man-made ditches and canals. But we did see a gopher tortoise and some manatees playing in the waterways, so that definitely made our day. Be prepared for mosquitos, Florida's most famous and omnipresent residents, though.",stijntailly,4.0 of 5 bubbles,Waregem,Flemish Region,Belgium,Lovers Key State Parktripadvisorreviews
2/4/2020,"The day pass was $8 US.  The road in was parked as was most of the parking.  We came to walk the 3 mile loop along the canals.  There was not an abundance of wildlife, we did get up close to a gopher  tortoise.  A few benches along the way.  Some people rode bikes and there were a few kayaks - it looked really save.  There is also a beautiful white sand beach.",TurkeyVisit,5.0 of 5 bubbles,Kamloops,British Columbia,Canada,Lovers Key State Parktripadvisorreviews
9/19/2019,"Had better expectations,  it certainly was not the best shelling  onthe island.  North end was excellent ",sunshinepalmtreegirl,3.0 of 5 bubbles,Metro Vancouver,British Columbia,Canada,Lovers Key State Parktripadvisorreviews
3/24/2019,"Excellent day park facilities, fun playground for the kids. Facilities were clean and staff is very friendly. $8 park admission $2 per adult for the day facilities outside the park. Awesome sunsets from the beach area at the north bridge. ",theoilytravelers,4.0 of 5 bubbles,Penticton,British Columbia,Canada,Lovers Key State Parktripadvisorreviews
4/24/2019,"Be sure to bring the sunblock! This beach packs the heat. Lots of sun, sand and sea to keep you going for an afternoon. Long walk along the shoreline collecting shells or playing in the surf. ",JODY P,5.0 of 5 bubbles,Rexton,New Brunswick,Canada,Lovers Key State Parktripadvisorreviews
2/1/2020,Great place to visit for walks along beach. Saw lots of birds and butterflies. Good restroom area with drinks and information.,colin d,5.0 of 5 bubbles,Georgetown,Ontario,Canada,Lovers Key State Parktripadvisorreviews
4/28/2019,Beautiful sandy beach. The best way to arrive is with a rented pontoon boat from Bonita Beach Road. Water is warm and very clear and shallow. This makes a fun day trip, Dr Rich M,5.0 of 5 bubbles,Toronto,Ontario,Canada,Lovers Key State Parktripadvisorreviews
10/25/2019,"While we were in the Fort Myers area, we spent a couple of hours at the Lovers Key Beach, which is part of the Lovers Key State Park.   The Lovers Key Beach is almost 2 miles beach with clean almost white sand that is perfect for kids who want to build sandcastles, or for walks, or a swim or just relaxing with family and friends.  I found lovely sea shells.  The water was inviting, not cold.  The day I visited there were not too many people around, which was kind of nice.  This beach is among the top 10 in the state of Florida, and for good reasons.   Saw some sea birds and manatees.",Sarina14,4.0 of 5 bubbles,New Delhi,Delhi,India,Lovers Key State Parktripadvisorreviews
12/12/2019,This place is nice. Beautiful and long beach. From the parking lot a tram will take you at the beach on 10 minutes where there is only a kiosk selling gelato and something else. Many birds,Luisa m,4.0 of 5 bubbles,Rome,Lazio,Italy,Lovers Key State Parktripadvisorreviews
12/19/2019,"A lovely natural beach with fine sand and lots of shells! I would recommend taking a cool box with snacks and drinks as this beach is literally that!  There is a reasonable walk to the beach so would recommend taking the free tram service.  There is also an entrance fee to access the beach.  If you like your beaches quiet, relatively untouched and clean I would recommend a visit.",KayePow,4.0 of 5 bubbles,London,England,United Kingdom,Lovers Key State Parktripadvisorreviews
8/10/2019,"This was an unplanned stop on a cloudy day and we are so glad we did this. $8 dollars to bring car in which at first we debated whether it was worth it. And now I don’t know why we debated it. Drove to first car park and got the tram to the beach where there are toilets and refreshments and much to my teenage children’s delight WiFi. We were not prepared to sit on the beach as my kids not interested (13, 15). We thought we would explore and walked on to the pier and try and spot dolphins and Manatees. Stunning views all around. We then walked back the way the tram brought us and stopped on numerous bridges for ages looking out to the water. Luckily on the last bridge we waited and spotted two dolphins playing they swam right under the bridge. Also a manatee popped its head up but you need to be Vigilant to see these.  We then got back into car and drove to furthest car park where you can pick up the trials. Unprepared for this we did not have the right footwear for walking far and only went in a little way. We came across snakes, lizards. Rabbits, and tortoise. And also be prepared mozzies they are persistent. Trials are wonderful and my kids who hate walking wanted to explore further (unheard of at home). Definitely worth a visit there are plenty of picnic ares if you bring your own food. Sea was a bit rough so not great for small children. Wish we had longer and was more prepared.",Kara F,5.0 of 5 bubbles,Bedfordshire,England,United Kingdom,Lovers Key State Parktripadvisorreviews
8/5/2019,"My husband, son and I had a fabulous day here. Once you have parked your car there is a tram to take you to the beach. There is a place to hire beds and umbrellas if you want to. We hired 2 beds and an umbrella for $30. The beach is beautiful and clean with tons of shells ",Fair reviews,5.0 of 5 bubbles,Warrington,England,United Kingdom,Lovers Key State Parktripadvisorreviews
7/28/2019,"This place is a 'must do', for anybody visiting the Fort Myers area. The beach is absolutely stunning. Beautiful white sand. The natural architecture of the tree stumps is stunning.A must do, is kayaking in the mangroves. There are kayak rentals at the main visitor centre. We rented 2 & we didnt have to venture too far before we met some local wildlife.  We were really fortunate to see at least 3 manatees who swam alongside us for quite some time. A truly amazing experience! We plan to do this activity again should we visit this area in the future.",Janeyd65,5.0 of 5 bubbles,Manchester,England,United Kingdom,Lovers Key State Parktripadvisorreviews
7/14/2019,This area was really pretty and the kayaking faculties were excellent.  It was really easy to hire a kayak and launch it into water and there was plenty to explore.,Westend100,5.0 of 5 bubbles,Southampton,England,United Kingdom,Lovers Key State Parktripadvisorreviews
6/15/2019,"What a place. South of the island. This is very probably the finest beach I have ever visited. Pure white sand, crystal clear water. There’s even a free tram to take you right to the edge of the sand. Paradise.",John S,5.0 of 5 bubbles,Leeds,England,United Kingdom,Lovers Key State Parktripadvisorreviews
6/1/2019,"Great Beach with lots to do you can kayak or paddle board the inlet water  or  in the sea if you prefer Manatees, Dolphins and Alligatorsare in  inlet water cafe and other amenities on the beach as well",David C,5.0 of 5 bubbles,Kilmarnock,Scotland,United Kingdom,Lovers Key State Parktripadvisorreviews
2/16/2020,"So beautiful, peaceful during the week. Weekends are far more crowded. Nice place to come and commune with trees and sea and sand and love.",TamaraSofia,5.0 of 5 bubbles,Tucson,Arizona,United States,Lovers Key State Parktripadvisorreviews
1/28/2020,"The guide at the gate was very friendly. The map they gave us was poorly done and the markers on the trail were few and not helpful.  The folks who were walking there were friendly and helpful! We saw gopher turtles and an eagle, that made it worth while!! Off of parking lot one there are nasty toilets! The walk to the water is very nice. Have fun!",linda g,3.0 of 5 bubbles,Scottsdale,Arizona,United States,Lovers Key State Parktripadvisorreviews
5/29/2019,"We had very little time when passing through but hoped to spot some manatees.  $8 gets the vehicle into the state park.  We stopped before entering hoping to see some manatees based on other reviewers.  No luck.  We drove to the boat ramp for kayaks and parked.  We observed a few at a distance as they broke the surface of the water but we didn't really see much.  It is a lovely place with the mangroves and birds.  On our way out of the park, we stopped for sodas at the state-operated shop.  The shop had a very limited selection of snacks so bring your own.  We hitched a ride to the beach (it's quite a walk).  It was the last ride out but the driver offered to return to pick us up in 15 minutes.  It was the perfect amount of time to stick our feet in the water and take some selfies.  The sand was lovely and smooth.  Seashells were plentiful though small.  This place would be great to spend a day with a significant other or children.",KimmyG,5.0 of 5 bubbles,Fort Smith,Arkansas,United States,Lovers Key State Parktripadvisorreviews
2/20/2020,"This is one of our favorite parks. The beach is broad fine white sand and wraps around a point making it about 1 1/2 miles long. The only negative is can get a little crowded. We were only there one day and the overflow parking did not fill completely up. We rode the bike trails along the water while others kayaked through the mangroves. There are wildlife observation  benches alongside the trails. There are manatees, a scattered gator or two, dolphins and many different species of birds and small mammals to observe. The facilities are modern and clean. There is a tram to take you from the parking area to the South beach. There is construction going on where the park is adding more facilities. We had a near perfect day in this little piece of paradise. The trails are especially serene.",mikeej99,5.0 of 5 bubbles,Santa Barbara,California,United States,Lovers Key State Parktripadvisorreviews
4/27/2019,This is such a beautiful place to visit. it costs eight dollars to bring your car into the park and this lasts you all day - you can drive out and return as long as you retain your ticket. Lots of parking - but get there early if you don't want too long a walk. there is a small train to take you to the beach if walking is a problem or if you have lots of baggage.Take a picnic with you although there is a snack bar but it is a walk from the beach.every time we visit Naples we drive up here at least twice - Magical place for wildlife and if you are lucky you may spot a dolphin or two - what could be better?!,Colliedog58,5.0 of 5 bubbles,Hartley,California,United States,Lovers Key State Parktripadvisorreviews
4/23/2019,It's a pretty swimming beach. But you need to bring your own food and beverage. The shack serves limited food items.  Cash only! Also it's a one lane each way highway so during rush hour it takes forever to get in and out. Parking is extremely limited.,Aleida1004,5.0 of 5 bubbles,Foster City,California,United States,Lovers Key State Parktripadvisorreviews
4/22/2019,"We arrived on a pontoon boat tour and walked the beach on a falling g tide.  Found a variety of shells.  Nice swimming, Clear water clean sand!",Eugene Porter,5.0 of 5 bubbles,Belvedere,California,United States,Lovers Key State Parktripadvisorreviews
4/2/2019,"Visited Lover's Key State Park this past week... really enjoyed this beach!  There was a lot of parking past the small initial lot by the gift shop and the beach didn't feel too crowded at all for spring break... lots of families, very low key.  The beach was an easy walk across the bridge from the gift shop but the tram ride is helpful as well for getting small kids to the south end, where there's a place you can rent umbrellas + chairs (we had to keep south of the gazebo at the south end in order to rent them)  Am happy to report that the bathrooms at the south end tram stop has real plumbing, water fountains and changing tables - if you're a squeamish sort like me who's not adventurous about the portapotties or compost bathrooms.  We didn't buy any food but there seemed plenty available to buy.We rented kayaks at the state park and I'm leaving a rating short simply because I felt the desk really pressured us to kayak vs. paddle board, saying that we would see more / go further in kayaks, even though I really had my heart set on paddle boarding the estuary.  She said that paddle boarding was better at the beach (where it was really windy) and since you can't swim in the estuary, kayaks were better for resting.  Since we were kayaking elsewhere the next day, I didn't want to do it two days in a row but was really hoping to see manatees so opted for the kayaks.  Regrets, as the estuary was beautifully calm and manatees were sighted right off the launch... so paddle boards would have been just fine.  We saw most of the manatees on the bank just down and across from the launch spot, where there's a bridge and parking / viewing spot.. they seemed to like crowding around the bridge there for a sun bathe.  The rental shop posts if there's sightings which is helpful. We had a beautiful family day at this beach, well worth the trip.",adanek,4.0 of 5 bubbles,Los Angeles,California,United States,Lovers Key State Parktripadvisorreviews
4/13/2020,"We rented kayaks with the purpose of seeing the Manatees. We kayaked 2.5 miles through the Mangroves and found what we were looking for. There were multiple family pods and they get so close you can almost touch them. Beautiful and very peaceful. A huge bonus for us was as we left a family of 3 swam with us almost 2 miles before they swam out into the bay.We then walked the beach from the visitor center all the way around the southern tip almost to the dog beach. Lots of shells, dolphins, and enough friendly people to make it interesting but you could ignore everyone if you wanted and be all by yourself.Don't just stay on the beach near the visitor center. Get out and explore. You will be thankful you did.",MARTY B,5.0 of 5 bubbles,Pueblo,Colorado,United States,Lovers Key State Parktripadvisorreviews
3/6/2021,"This is a wonderful state park to visit.  We went kayaking and fishing. Lots of wildlife, manatees, birds and dolphins. Pack a picnic and spend the day. ",Lisa/Brian,5.0 of 5 bubbles,Stonington,Connecticut,United States,Lovers Key State Parktripadvisorreviews
2/24/2020,"Spent an afternoon here.  Rented kayaks to explore the 2.5 mile one way waterway.  Unfortunately because of slower people in our group, we could not get to the end before we had to turn around to be back before they closed at 5 pm.  We had heard that there were manatees at the end. Saw two small alligators in the water and one big alligator on bank sunning itself.  Wish it was a little more peaceful as traffic on Estero Blvd and planes flying overhead disturbs the serenity of the area.  You do have to transport your paddles, life vests, and seats from the gift shop area to the kayak/canoe launch area.  You can walk the half mile or figure out how to hold the paddles outside of your car and drive.  Would highly recommend wearing a swimsuit and bring clothes to change into.  You will get wet!",Nancy K,4.0 of 5 bubbles,Southbury,Connecticut,United States,Lovers Key State Parktripadvisorreviews
2/18/2020,"Wonderfully managed state park, modest entry fee (a few dollars as I recall) - but so well managed.  Excellent sea shell beach, birds, etc.  We want to return and rent kayaks there (next time).  Overall - a really nice visit, walking trails, beach and a peaceful spot to spend a few hours with nature.",danbolognani,5.0 of 5 bubbles,Lakeville,Connecticut,United States,Lovers Key State Parktripadvisorreviews
6/3/2019,Had a great time and the trolly to the beach was perfect for my tired feet.  Bathrooms were easy to get to. ,Gary C,5.0 of 5 bubbles,Quaker Hill,Connecticut,United States,Lovers Key State Parktripadvisorreviews
5/20/2019,We had a tour group of 4. Steven was excellent! Very knowledgeable and brought up sea life for us to see. At the very end of our tour we saw a manatee and it was awesome !,mtfwhls,5.0 of 5 bubbles,New Haven,Connecticut,United States,Lovers Key State Parktripadvisorreviews
1/11/2021,We took a quiet morning stroll on the soft white sands. The shells were beautiful and many. Totally enjoyable morning. Then we had lunch on the water,turtleCamp2,5.0 of 5 bubbles,Greenacres,Florida,United States,Lovers Key State Parktripadvisorreviews
12/21/2020,"2.5-mile mangrove protected estuary with clean, sandy kayak, canoe and stand up paddle board launch on estuary. We launched our pedal boards here and enjoyed a Sunday morning trip, out and back 5 miles. We saw a manatee cow and calf, multiple large redfish, many birds. We also walked on the park's beautiful Gulf Beach. Easy five stars.",Karwendel52,5.0 of 5 bubbles,Crestview,Florida,United States,Lovers Key State Parktripadvisorreviews
11/30/2020,"Nice white sand beach. We visited for the sunset on the recommendation that this is the place to be to see one vs sanibel. There’s a sunset discount of $4 for entrance fee. We got there around 445pm. The beach was clean, not many shells but the white sand was soft. There was a small wedding taking place. Not crowded...socially distanced. Only downside was the bugs biting all the way down the walkway to the beach. Sunset was beautiful. Would come off season. It was an hours drive from lovers key state park out of fort Myers beach (more traffic at fort Myers beach area)",meliss1830,4.0 of 5 bubbles,Hollywood,Florida,United States,Lovers Key State Parktripadvisorreviews
11/28/2020,"I’ve been to several FLSP’s now and this may just be my favorite one so far. It was just beautiful, lots of mangroves and winding paths. There’s a gift shop and bathroom/ main area where you park, and they have a trolley out to the beach which is really nice because it’d be a pretty long walk otherwise. We spent most of our time on the beach, and even on a stormy day it was just stunning. There weren’t many waves and the water was crystal clear really far out so it made for a great day to find shells, and there was no shortage of shells to look at. I mean, in some areas they were literally just piled up like you would find snow piles in the north. Even found two whole, good-sized sand dollars! We walked all the way down to the end of the beach and back just looking around in the water and that was super fun and made the time fly by. At the end of the beach there’s some woody parts that are fun to look at and previous visitors have kind of decorated them with shells and I thought that was neat. I took a lot of pictures of the water because the colors were just break taking and so defined. You can also see Sanibel Island and the bridge over it from Lovers Key, just a lot of great views. There’s an option to rent kayaks and paddle boards and go along the mangroves which I’d like to come back and do at some point. They have bathrooms and rinse stations, and a small restaurant right on the beach as well, which a lot of SPs don’t and it’s nice to have everything you need yet it still feels mostly untouched by humans and it’s so quiet compared to other beaches. Love love love!!!",Raegan L,5.0 of 5 bubbles,Lakeland,Florida,United States,Lovers Key State Parktripadvisorreviews
11/27/2020,We were looking for places to pick up sea shells.  Found this a wonderful beach to walk.  People were spaced apart during the pandemic which made it enjoyable.  Much more of the park to explore and we will do so upon our return to the area.,Steven D,4.0 of 5 bubbles,Sun City Center,Florida,United States,Lovers Key State Parktripadvisorreviews
9/23/2020,The beach at this state park reminds us of some of the quaint beaches in Hawaii.  It is easy to find and the walk from the car to the beach is pleasant  but there is a shuttle if you are unable to walk it.,SunseekerOrlando,5.0 of 5 bubbles,Orlando,Florida,United States,Lovers Key State Parktripadvisorreviews
8/15/2020,Hands down one of the best spots. The water is amazing. If you walk far enough it’s very peaceful and relaxing. We enjoy this beach as a couple and a family ,Babeonabeach,5.0 of 5 bubbles,Fort Myers Beach,Florida,United States,Lovers Key State Parktripadvisorreviews
7/16/2020,Clean beach with lots of room for spacing out (pre-covid and after). Our granddaughters had a blast on the beach.,Cynthia H,5.0 of 5 bubbles,Fort Myers,Florida,United States,Lovers Key State Parktripadvisorreviews
6/23/2020,A very relaxing day on the beach. A beautiful state park that offers many things other than just the beach. I particularly enjoyed the sunset beach party with the live music. It’s a must visit every time I’m in florida,Jolene S,5.0 of 5 bubbles,Bonita Springs,Florida,United States,Lovers Key State Parktripadvisorreviews
